Channel 1,Channel 2,Channel 3,Channel 4
-6.11,-6.86,0.76,45.014
-5.55,-6.86,1.32,52.116
-4.98,-6.86,1.88,59.425
-4.42,-3.43,-0.99,27.816
-3.86,-3.43,-0.43,33.362
-3.3,-3.43,0.14,39.425
-2.73,-3.43,0.7,45.692
-2.17,0,-2.17,14.595
-1.6,-3.43,1.83,57.288
-1.04,0,-1.04,25.045
-0.47,0,-0.47,30.573
0.09,0,0.09,36.616
0.66,0,0.66,43.17
1.22,3.43,-2.21,9.867
1.79,3.43,-1.64,14.333
2.35,3.43,-1.08,19.928
2.92,3.43,-0.51,25.41
3.48,3.43,0.05,31.087
4.04,3.43,0.61,37.579
4.61,6.86,-2.26,4.516
5.17,6.86,-1.69,9.214
5.73,6.86,-1.13,14.101
6.29,3.43,2.86,57.679
6.85,6.86,-0.01,25.99
7.41,6.86,0.54,32.366
7.96,6.86,1.1,39.234
8.52,6.86,1.66,46.593
9.07,10.29,-1.22,15.937
9.63,6.86,2.76,61.218
10.18,10.29,-0.12,29.354
10.73,10.29,0.43,35.854
11.27,10.29,0.98,42.521
11.82,10.29,1.53,49.665
12.37,10.29,2.07,56.97
12.91,13.72,-0.82,25.312
13.45,13.72,-0.28,30.759
13.99,13.72,0.26,36.672
14.52,13.72,0.8,43.046
15.06,13.72,1.33,49.881
15.59,13.72,1.86,56.239
16.12,17.16,-1.04,24.237
16.64,17.16,-0.51,29.323
17.17,17.16,0.01,34.855
17.69,17.16,0.53,40.831
18.21,17.16,1.05,46.626
18.72,20.59,-1.86,14.976
19.23,20.59,-1.35,19.774
19.74,20.59,-0.84,24.381
20.25,20.59,-0.34,29.414
20.75,20.59,0.17,34.869
21.25,20.59,0.67,40.742
21.75,24.02,-2.27,7.283
22.24,24.02,-1.78,10.872
22.73,24.02,-1.29,15.179
23.22,24.02,-0.8,19.577
23.7,24.02,-0.32,24.373
24.18,24.02,0.16,29.564
24.65,24.02,0.64,35.146
25.12,24.02,1.11,40.491
25.59,24.02,1.57,46.529
26.05,27.45,-1.39,12.573
26.51,27.45,-0.94,16.872
26.97,27.45,-0.48,21.228
27.42,27.45,-0.03,25.948
27.86,27.45,0.41,31.025
28.31,27.45,0.86,36.457
28.74,27.45,1.29,42.238
29.17,27.45,1.73,48.052
29.6,30.88,-1.28,14.148
30.03,30.88,-0.85,17.837
30.44,30.88,-0.44,21.856
30.86,30.88,-0.02,26.51
31.27,30.88,0.39,31.172
31.67,30.88,0.79,36.149
32.07,30.88,1.19,41.434
32.46,30.88,1.58,47.024
32.85,30.88,1.97,51.979
33.24,34.31,-1.07,17.791
33.62,34.31,-0.7,21.46
33.99,34.31,-0.32,25.101
34.36,34.31,0.05,29.019
34.72,34.31,0.41,33.208
35.08,34.31,0.76,37.662
35.43,34.31,1.12,42.377
35.77,37.74,-1.97,7.6
36.11,37.74,-1.63,10.019
36.45,37.74,-1.3,12.37
36.78,37.74,-0.97,15.269
37.1,37.74,-0.64,18.089
37.41,37.74,-0.33,21.134
37.73,37.74,-0.02,24.399
38.03,37.74,0.29,27.877
38.33,37.74,0.59,31.253
38.62,37.74,0.88,35.142
38.91,41.17,-2.26,1.034
39.19,41.17,-1.98,2.51
39.47,41.17,-1.71,3.858
39.73,41.17,-1.44,5.695
40,41.17,-1.18,7.392
40.25,37.74,2.51,47.136
40.5,41.17,-0.67,11.587
40.74,41.17,-0.43,13.762
40.98,41.17,-0.19,16.084
41.21,41.17,0.04,18.546
41.44,41.17,0.26,21.143
41.65,41.17,0.48,23.867
41.86,41.17,0.69,26.713
42.07,41.17,0.89,29.674
42.26,41.17,1.09,32.745
42.46,41.17,1.28,35.606
42.64,41.17,1.47,38.876
42.82,41.17,1.64,42.235
42.99,44.6,-1.62,6.552
43.15,44.6,-1.45,7.894
43.31,44.6,-1.3,8.374
43.46,44.6,-1.15,9.229
43.6,44.6,-1,9.831
43.74,44.6,-0.87,10.483
43.87,44.6,-0.74,11.18
43.99,44.6,-0.61,11.916
44.11,44.6,-0.5,12.683
44.21,44.6,-0.39,13.475
44.32,44.6,-0.29,14.597
44.41,44.6,-0.19,15.419
44.5,44.6,-0.11,16.248
44.58,44.6,-0.03,17.076
44.65,44.6,0.05,17.896
44.72,44.6,0.11,18.702
44.78,44.6,0.17,19.488
44.83,44.6,0.23,20.248
44.88,44.6,0.27,20.973
44.91,44.6,0.31,21.659
44.95,44.6,0.34,22.299
44.97,44.6,0.37,22.886
44.99,44.6,0.38,23.413
45,44.6,0.39,23.875
45,44.6,0.4,24.264
45,44.6,0.39,24.575
44.98,44.6,0.38,24.801
44.97,44.6,0.36,24.935
44.94,44.6,0.34,24.661
44.91,44.6,0.3,24.593
44.87,48.04,-3.17,-14.089
44.82,48.04,-3.21,-17.183
44.77,48.04,-3.27,-20.712
44.71,48.04,-3.33,-24.06
44.64,44.6,0.03,10.027
44.56,48.04,-3.47,-31.48
44.48,48.04,-3.55,-35.566
44.39,48.04,-3.64,-39.806
44.3,48.04,-3.74,-43.896
44.19,48.04,-3.84,-48.464
44.08,48.04,-3.95,-52.895
43.97,44.6,-0.64,-19.001
43.84,44.6,-0.76,-20.998
43.71,44.6,-0.89,-23.186
43.57,44.6,-1.03,-25.571
43.43,41.17,2.26,9.721
43.28,44.6,-1.33,-30.648
43.12,41.17,1.95,6.086
42.96,41.17,1.78,5.961
42.78,41.17,1.61,5.608
42.6,41.17,1.43,5.023
42.42,41.17,1.25,4.51
42.23,41.17,1.05,3.442
42.03,41.17,0.86,2.123
41.82,41.17,0.65,0.859
41.61,41.17,0.44,-0.977
41.39,41.17,0.22,-3.08
41.17,41.17,0,-5.456
40.94,41.17,-0.24,-8.11
40.7,41.17,-0.47,-11.048
40.45,41.17,-0.72,-14.275
40.2,41.17,-0.97,-17.485
39.95,41.17,-1.23,-21.307
39.68,41.17,-1.49,-25.434
39.41,41.17,-1.76,-29.56
39.14,41.17,-2.03,-34.623
38.86,41.17,-2.32,-39.696
38.57,41.17,-2.61,-44.784
38.27,37.74,0.53,-11.078
37.97,37.74,0.23,-14.345
37.67,37.74,-0.07,-17.641
37.36,37.74,-0.39,-21.284
37.04,37.74,-0.71,-25.276
36.71,37.74,-1.03,-29.624
36.38,37.74,-1.36,-34.021
36.05,37.74,-1.69,-39.093
35.71,37.74,-2.04,-44.535
35.36,34.31,1.05,-10.292
35.01,34.31,0.7,-13.686
34.65,34.31,0.34,-17.152
34.29,34.31,-0.02,-21.005
33.92,34.31,-0.39,-25.249
33.54,34.31,-0.77,-29.578
33.16,34.31,-1.15,-34.617
32.78,30.88,1.9,-1.245
32.39,30.88,1.51,-4.609
31.99,30.88,1.12,-7.761
31.59,30.88,0.72,-11.33
31.19,30.88,0.31,-15.317
30.78,30.88,-0.1,-19.728
30.37,30.88,-0.51,-24.567
29.95,30.88,-0.93,-29.525
29.52,30.88,-1.36,-34.917
29.09,30.88,-1.79,-41.68
28.66,30.88,-2.22,-48.262
28.22,27.45,0.77,-14.92
27.78,27.45,0.33,-19.286
27.33,27.45,-0.12,-24.101
26.88,27.45,-0.57,-29.372
26.43,27.45,-1.02,-34.789
25.97,27.45,-1.48,-40.978
25.5,24.02,1.48,-6.949
