Channel 1,Channel 2,Channel 3,Channel 4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
90,3.52,86.48,93.092
90,3.52,86.48,93.316
90,3.52,86.48,93.54
90,3.52,86.48,93.764
90,3.52,86.48,93.988
90,7.03,82.97,90.934
90,3.52,86.48,94.427
90,3.52,86.48,94.651
90,3.52,86.48,94.875
90,3.52,86.48,95.099
90,7.03,82.97,92.045
90,7.03,82.97,92.26
90,7.03,82.97,92.475
90,7.03,82.97,92.69
90,7.03,82.97,92.905
90,7.03,82.97,93.12
90,7.03,82.97,93.335
90,7.03,82.97,93.549
90,7.03,82.97,93.764
90,7.03,82.97,93.979
90,7.03,82.97,94.194
90,7.03,82.97,94.409
90,7.03,82.97,94.624
90,7.03,82.97,94.839
90,7.03,82.97,95.054
90,7.03,82.97,95.269
90,10.55,79.45,92.206
90,10.55,79.45,92.412
90,10.55,79.45,92.618
90,10.55,79.45,92.823
90,10.55,79.45,93.029
90,10.55,79.45,93.235
90,10.55,79.45,93.441
90,10.55,79.45,93.647
90,10.55,79.45,93.852
90,10.55,79.45,94.058
90,10.55,79.45,94.264
90,10.55,79.45,94.47
90,10.55,79.45,94.676
90,10.55,79.45,94.882
90,10.55,79.45,95.087
90,10.55,79.45,95.293
90,10.55,79.45,95.499
90,14.06,75.94,92.427
90,14.06,75.94,92.624
90,14.06,75.94,92.821
90,10.55,79.45,96.295
