Channel 1,Channel 2,Channel 3,Channel 4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-0.14,0,0,-0.027
-0.29,0,0,-0.025
-0.43,0,0,-0.024
-0.58,0,0,-0.023
-0.72,0,0,-0.021
-0.86,0,0,-0.02
-1.01,0,-1.01,-5.068
-1.15,0,-1.15,-5.807
-1.3,0,-1.3,-6.549
-1.44,0,-1.44,-7.293
-1.58,0,-1.58,-8.04
-1.73,0,-1.73,-8.79
-1.87,0,-1.87,-9.542
-2.02,0,-2.02,-10.297
-2.16,0,-2.16,-11.055
-2.3,0,-2.3,-11.815
-2.45,0,-2.45,-12.578
-2.59,0,-2.59,-13.344
-2.74,0,-2.74,-14.113
-2.88,0,-2.88,-14.884
-3.02,0,-3.02,-15.657
-3.17,0,-3.17,-16.434
-3.31,0,-3.31,-17.213
-3.46,0,-3.46,-17.995
-3.6,0,-3.6,-18.779
-3.74,0,-3.74,-19.566
-3.89,0,-3.89,-20.356
-4.03,0,-4.03,-21.148
-4.18,0,-4.18,-21.943
-4.32,0,-4.32,-22.74
-4.46,0,-4.46,-23.54
-4.61,0,-4.61,-24.342
-4.75,0,-4.75,-25.148
-4.9,0,-4.9,-25.955
-5.04,0,-5.04,-26.766
-5.18,0,-5.18,-27.578
-5.33,0,-5.33,-28.394
-5.47,0,-5.47,-29.211
-5.62,0,-5.62,-30.032
-5.76,0,-5.76,-30.854
-5.9,0,-5.9,-31.68
-6.05,0,-6.05,-32.507
-6.19,0,-6.19,-33.338
-6.34,0,-6.34,-34.17
-6.48,0,-6.48,-35.005
-6.62,0,-6.62,-35.843
-6.77,0,-6.77,-36.683
-6.91,0,-6.91,-37.525
-7.06,0,-7.06,-38.37
