Channel 1,Channel 2,Channel 3,Channel 4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.11,0,0.11,5.245
0.23,0,0.23,12.582
0.34,0,0.34,23.065
0.45,0,0.45,37.741
0.57,0,0.57,57.657
0.68,0,0.68,83.861
0.79,0,0.79,100
0.9,0,0.9,92.245
1.02,0,1.02,100
1.13,0,1.13,100
1.24,0,1.24,100
1.36,-3.52,4.87,100
1.47,0,1.47,-100
1.58,0,1.58,100
1.7,0,1.7,100
1.81,0,1.81,100
1.92,0,1.92,100
2.04,0,2.04,100
2.15,0,2.15,100
2.26,0,2.26,100
2.37,0,2.37,100
2.49,0,2.49,100
2.6,-3.52,6.12,100
2.71,0,2.71,-100
2.83,0,2.83,100
2.94,0,2.94,100
3.05,0,3.05,100
3.17,0,3.17,100
3.28,0,3.28,100
3.39,0,3.39,100
3.51,0,3.51,100
3.62,0,3.62,100
3.73,0,3.73,100
3.84,0,3.84,100
3.96,0,3.96,100
4.07,0,4.07,100
4.18,-3.52,7.7,100
4.3,0,4.3,-100
4.41,0,4.41,100
4.52,0,4.52,100
4.63,0,4.63,100
4.75,0,4.75,100
4.86,0,4.86,100
4.97,0,4.97,100
5.09,0,5.09,100
5.2,0,5.2,100
5.31,3.52,1.8,-21.335
5.43,0,5.43,100
5.54,3.52,2.02,-100
5.65,3.52,2.14,100
