Channel 1,Channel 2,Channel 3,Channel 4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-0.11,0,-0.11,-1.132
-0.23,0,-0.23,-2.263
-0.34,0,-0.34,-3.394
-0.45,0,-0.45,-4.525
-0.57,0,-0.57,-17.861
-0.68,0,-0.68,-6.787
-0.79,0,-0.79,-7.918
-0.9,0,-0.9,-9.048
-1.02,0,-1.02,-10.179
-1.13,0,-1.13,-25.219
-1.24,0,-1.24,-12.441
-1.36,0,-1.36,-13.572
-1.47,0,-1.47,-14.702
-1.58,0,-1.58,-15.833
-1.7,0,-1.7,-32.574
-1.81,0,-1.81,-18.095
-1.92,0,-1.92,-19.225
-2.04,0,-2.04,-20.356
-2.15,0,-2.15,-21.486
-2.26,0,-2.26,-39.928
-2.37,0,-2.37,-23.747
-2.49,0,-2.49,-24.878
-2.6,0,-2.6,-26.008
-2.71,0,-2.71,-27.139
-2.83,0,-2.83,-47.279
-2.94,0,-2.94,-29.399
-3.05,0,-3.05,-30.53
-3.17,0,-3.17,-31.66
-3.28,0,-3.28,-32.79
-3.39,0,-3.39,-54.629
-3.51,0,-3.51,-35.05
-3.62,0,-3.62,-36.18
-3.73,0,-3.73,-37.31
-3.84,0,-3.84,-38.44
-3.96,0,-3.96,-61.976
-4.07,0,-4.07,-40.7
-4.18,0,-4.18,-41.829
