Channel 1,Channel 2,Channel 3,Channel 4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
90,7.03,82.97,100
