Channel 1,Channel 2,Channel 3,Channel 4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-0.14,0,-0.14,-0.432
-0.29,0,-0.29,-0.864
-0.43,0,-0.43,-1.296
-0.58,0,-0.58,-1.728
-0.72,0,-0.72,-2.16
-0.86,0,-0.86,-2.592
-1.01,0,-1.01,-3.024
-1.15,0,-1.15,-3.456
-1.3,0,-1.3,-7.776
-1.44,3.52,-4.96,-18.755
-1.58,0,-1.58,-8.64
-1.73,0,-1.73,-9.072
-1.87,3.52,-5.39,-20.051
-2.02,3.52,-5.53,-20.483
-2.16,0,-2.16,-10.368
-2.3,3.52,-5.82,-21.347
-2.45,0,-2.45,-11.232
-2.59,0,-2.59,-11.664
-2.74,0,-2.74,-16.416
-2.88,0,-2.88,-16.848
-3.02,0,-3.02,-17.28
-3.17,0,-3.17,-17.712
-3.31,3.52,-6.83,-28.691
-3.46,0,-3.46,-18.576
-3.6,0,-3.6,-19.008
-3.74,0,-3.74,-19.44
-3.89,0,-3.89,-19.872
-4.03,0,-4.03,-20.304
-4.18,3.52,-7.69,-46.149
-4.32,0,-4.32,-36.034
-4.46,3.52,-7.98,-47.013
-4.61,0,-4.61,-36.898
-4.75,0,-4.75,-37.33
-4.9,0,-4.9,-37.762
-5.04,0,-5.04,-38.194
-5.18,0,-5.18,-38.626
-5.33,0,-5.33,-39.058
-5.47,0,-5.47,-39.49
-5.62,3.52,-9.13,-54.788
