Channel 1,Channel 2,Channel 3,Channel 4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
45,47.51,7,-100
45,43.99,7,-100
45,43.99,7,-100
45,40.47,7,-100
45,40.47,7,-100
45,40.47,7,-100
45,40.47,7,100
45,36.95,7,100
45,36.95,7,100
45,36.95,7,100
45,36.95,7,100
45,40.47,7,100
45,40.47,7,100
45,40.47,7,100
45,40.47,7,100
45,43.99,7,100
45,43.99,7,100
45,43.99,7,100
45,47.51,7,100
45,47.51,7,100
45,47.51,7,100
45,51.03,7,100
45,51.03,7,100
45,51.03,7,100
45,51.03,7,100
45,54.55,7,-100
45,54.55,7,-100
45,54.55,7,-100
45,54.55,7,-100
45,54.55,7,-100
45,54.55,7,-100
45,51.03,7,-100
45,51.03,7,-100
45,51.03,7,-100
45,47.51,7,-100
45,47.51,7,-100
45,47.51,7,-100
45,43.99,7,-100
45,43.99,7,-100
45,43.99,7,-100
45,40.47,7,-100
45,40.47,7,-100
45,40.47,7,-100
45,36.95,7,100
45,36.95,7,100
45,36.95,7,100
45,36.95,7,100
45,36.95,7,100
45,36.95,7,100
45,40.47,7,100
45,40.47,7,100
45,40.47,7,100
45,40.47,7,100
45,43.99,7,100
45,43.99,7,100
45,47.51,7,100
45,47.51,7,100
45,47.51,7,100
45,51.03,7,100
45,51.03,7,100
45,51.03,7,100
45,54.55,7,-100
45,54.55,7,-100
45,54.55,7,-100
45,54.55,7,-100
45,54.55,7,-100
45,54.55,7,-100
45,51.03,7,-100
45,51.03,7,-100
45,51.03,7,-100
45,51.03,7,-100
45,47.51,7,-100
45,47.51,7,-100
45,47.51,7,-100
45,43.99,7,-100
45,43.99,7,-100
